title,rate,casts,cover,detailLink,types,time,movieTime,summary
流浪地球：飞跃2020特别版,8.6,"['吴京', '屈楚萧', '李光洁', '吴孟达']",http://pic9.iqiyipic.com/image/20220822/40/e6/v_155120473_m_601_m5.webp,http://www.iqiyi.com/v_hzh1qvl51g.html,科幻,2020-11-26,136.46,近未来，科学家们发现太阳急速衰老膨胀，短时间内包括地球在内的整个太阳系都将被太阳所吞没。为了自救，人类提出一个名为“流浪地球”的大胆计划，即倾全球之力在地球表面建造上万座发动机和转向发动机，推动地球离开太阳系，用2500年的时间奔往另外一个栖息之地。中国航天员刘培强在儿子刘启四岁那年前往国际空间站，和国际同侪肩负起领航者的重任。转眼刘启长大，他带着妹妹朵朵偷偷跑到地表，偷开外公韩子昂的运输车，结果不仅遭到逮捕，还遭遇了全球发动机停摆的事件。为了修好发动机，阻止地球坠入木星，全球开始展开饱和式营救，连刘启他们的车也被强征加入。在与时间赛跑的过程中，无数的人前仆后继，奋不顾身，只为延续百代子孙生存的希望……本片根据刘慈欣的同名小说改编。
目中无人,9.2,"['谢苗', '高维蔓', '向皓', '刘奔', '张荻']",http://pic0.iqiyipic.com/image/20220707/35/2a/v_167605080_m_601_m4.webp,http://www.iqiyi.com/v_ivv44g381w.html,动作;犯罪,2022-6-3,73.87,古装犯罪动作爽片《目中无人》由魏君子担任制片人，张哲监制，杨秉佳导演兼编剧，秦鹏飞担任动作导演，谢苗领衔主演，高维蔓、向皓、刘奔、张荻主演。身怀绝技的盲眼“捉刀人”成瞎子，遇上惨遭灭门和凌辱的酒家女倪燕，原本不想插手的他逐渐被卷入一场势力庞大的暗黑纷争中，成瞎子开始踏上了寻求公道的复仇之路，他的真实身份也随之揭晓。
独行月球,9.4,"['沈腾', '马丽', '常远', '李诚儒', '黄才伦']",http://pic5.iqiyipic.com/image/20221028/02/37/v_157728242_m_601_m8.webp,http://www.iqiyi.com/v_1e54n0pt5ro.html,科幻;喜剧,2022-7-29,121.76,人类为抵御小行星的撞击，拯救地球，在月球部署了月盾计划。陨石提前来袭，全员紧急撤离时，维修工独孤月因为意外，错过了领队马蓝星的撤离通知，一个人落在了月球。不料月盾计划失败，独孤月成为了“宇宙最后的人类”，开始了他在月球上破罐子破摔的生活……
御龙修仙传3上古战场,8.6,"['彭禺厶', '雷濛', '杜冯羽容', '陈立唯', '朱嘉镇']",http://pic4.iqiyipic.com/image/20230116/4e/47/v_170866889_m_601_m2.webp,http://www.iqiyi.com/v_1b5286aycx4.html,,2023-1-17,90.01,为救身具十大修仙圣体之一但产生异化生命垂危的蓝墨伊，傅炎毅然前往有真神期高手分身守护的上古战场里层神佑之地找寻神炎。上古战场分三层，一层险胜一层。在降服外层守护兽赤墨玄蛟到达入口处时，遇到千年前前往中层四象极地收服士灵兽受伤的严欢死敌，苍岩宗宗主苍石灵君，二人为争夺对方半张藏宝图一番激战后和解，共同前往四象极地......
末日逃生（普通话）,7.6,"['莫瑞娜·巴卡琳', '杰拉德·巴特勒', '斯科特·格林', '大卫·丹曼', '霍普·戴维斯']",http://pic3.iqiyipic.com/image/20220819/75/c2/v_156247456_m_601_m3.webp,http://www.iqiyi.com/v_2b3h8nfh3o0.html,科幻;家庭,2020-7-29,119.3,两颗彗星正在朝地球运动，人类即将在 24 小时内面临毁灭性撞击，然而政府封锁了内部消息，在格陵兰建造了堡垒，只允许部分人类进入。建筑工程师John获得了进入堡垒的机会，带着一家三口踏上了去往格陵兰的末日逃生路。然而，在逃亡的过程中，逃难的人们得知自己已经被政府抛弃，开始失去控制，劫持了去往格陵兰的飞机，John的妻子与儿子也因此失散。John只能去约定好的地方等待妻子与儿子，期望会合后一并开车前往目的地格陵兰。这一路惊心动魄，历经重重困难，他们一家人最终是否可以会合，安全抵达格陵兰
世界的末日,6.7,['Jhey Castles'],http://pic6.iqiyipic.com/image/20220820/ad/e5/v_161043482_m_601_m2.webp,http://www.iqiyi.com/v_11tphizks5c.html,惊悚,2018-11-20,88.01,超级太阳风暴导致的地震及火山喷发，引起了科学家梅雷迪思的关注。她对此十分担忧，并确信近期不断发生的地壳活动，是毁灭性灾难来临前的预兆。情况危急，得不到同事认可的梅雷迪思决心将情况上报给市政府，希望政府重视并对全人类做出警示。然而灾难的到来比梅雷迪思预料的更快，正当她到达市政厅，表明来意欲面见市长之际，海啸、地震、火山喷发等活动正在全球同时爆发，交通瘫痪，通讯中断，城市顷刻间变为人间地狱
亚洲之爱,6.2,"['李美琪', '林志玲']",http://pic1.iqiyipic.com/image/20221208/1d/be/v_111270033_m_601_m8.webp,http://www.iqiyi.com/v_19rr9cokl0.html,,2006-8-24,90.08,集合了亚洲各地10位当红名模，由MaggieQ监制，包括台湾甜姐儿林志玲都入镜的“LoveAsia”由新加坡时尚摄影师LeslieKee掌镜，在度假胜地马来西亚兰卡威、吉隆坡等地拍摄，充满夏日风情。林志玲在当中展现琴艺、小秀舞蹈，以及与众名模们至PUB狂欢的幕后镜头。
大喜事,8.7,"['许君聪', '巩汉林', '姜一朵']",http://pic4.iqiyipic.com/image/20230129/9a/9a/v_170998227_m_601_m6.webp,http://www.iqiyi.com/v_y9qdgu9ey8.html,喜剧;爱情;家庭,2023-1-27,87.0,"修车工李大军与美甲师刘眉两个情投意合的年轻人，在订婚宴上确定了结婚日期，但与此同时，李大军也收到了准岳父刘克俭发起的挑战——50万元的彩礼。
对李大军来说，三个月内拿出50万元彩礼，几乎是不可能完成的任务。于是李大军与刘眉与刘克俭开始斗智斗勇，过程笑料百出。最终通过两位年轻人的共同努力，终于跨越传统思想的重重障碍，走进婚姻殿堂。"
暴走财神4,8.6,"['修睿', '孙越', '尹菲', '杜晓宇', '张双利', '卜钰', '田野（老四）']",http://pic9.iqiyipic.com/image/20230130/c7/fd/v_170991214_m_601_m6.webp,http://www.iqiyi.com/v_1zzhujov8gs.html,奇幻;喜剧;家庭,2023-1-26,83.69,青年王嘉诚总埋怨只会吹牛的父亲没有给自己带来富足的生活 。一日，王嘉诚忽遇财神，并得知自己前世竟是散财童子。想要回归仙列，必先找到终极财运。财神借给了他修改别人财运的能力，王嘉诚先后修改了女友及发小的财运，不想都被父亲搅黄了。他认定父亲才是贫穷的根源，于是开始修改父亲的财运，过程中他恍然大悟原来父亲从未吹牛，父亲为了他和家庭放弃了放弃了太多更好的选择。可此刻为时已晚，因多修改父亲财运，父亲成了老年痴呆。此刻的王嘉诚走上了为父亲逆天改命的征途，在天雷极刑中王嘉诚陡然惊醒，发现一切竟是南柯一梦。拥抱着父亲 他才知道原来与至亲相伴 才是真正的幸福。
纸人回魂,8.9,"['韩栋', '陈紫函', '张皓然', '陈国坤']",http://pic6.iqiyipic.com/image/20230113/52/2f/v_170780671_m_601_m6.webp,http://www.iqiyi.com/v_1uzk15xmqa0.html,惊悚;悬疑;恐怖,2023-1-6,95.65,"浮水镇莲生纸扎铺今日来了一位客人。来人名叫陆小笙，是消闲报的民俗记者。这次来到纸扎铺，是想向纸扎铺老板南裳打听一桩奇闻异事。
据说那是二十年前，百贵镇乔府小姐乔媛媛枉死，乔管家请纸扎匠刘三为乔媛媛做了纸人陪葬。刘三给纸人点了眼睛，导致乔媛媛借纸人回魂杀了乔老爷。
陆小笙并不相信这种封建迷信的说法，可当年和这件事有关的人都已经故去。他打探到南裳便是刘三的徒弟，所以他此次前来，就是想从南裳口中了解这件事背后的真相。"
真假济公,0,"['陈浩民', '巴图']",http://pic8.iqiyipic.com/image/20230205/5c/ff/v_171146948_m_601_m2.webp,http://www.iqiyi.com/v_ohvjzvvb64.html,动作,2023-2-5,80.73,讲述了济公在即将突破最后一层成为降龙罗汉的关键时刻，感知到白水镇村民有难，放弃修行，前往白水镇解救百姓。在此遇到了假扮济公的黄元，他蛊惑百姓险些烧死济公。但最终黄元被济公所感化，帮助济公一起制服了妖怪，解救了白水镇的百姓，济公也成为了降龙罗汉。
鹿角传说 ,0,"['凯丽·拉塞尔', '格雷厄姆·格林', 'Scott Haze']",http://pic7.iqiyipic.com/image/20230130/9b/65/v_168445585_m_601_m3.webp,http://www.iqiyi.com/v_12l8txte4qs.html,惊悚;恐怖;家庭,2021-10-29,89.65,俄勒冈州一名小镇的老师跟她的镇上警长哥哥发现了一件惊世骇俗的案件，他们察觉一位年轻的小学生行为举止十分异常，孤僻的个性以及诡异的谈话，驱使这对兄妹介入小学生的家庭调查背后隐藏的秘密，没想到竟掀起一阵腥风血雨的风暴，而古老的传说不再是天方夜谭，恶魔的苏醒也将带来毁灭式的反扑……
心理罪,8.4,"['廖凡', '万茜', '李纯', '张国柱', '谢君豪', '封佳奇', '蔡鹭', '虞朗']",http://pic7.iqiyipic.com/image/20220913/bb/9e/v_112878023_m_601_m11.webp,http://www.iqiyi.com/v_19rr7pa6xw.html,动作;犯罪;悬疑,2017-8-11,110.11,"一杯人血牛奶，为何会对人产生致命诱惑？ 
什么样的扭曲心理才会为之痴狂，甚至不惜接二连三，连环杀人？ 
非同寻常的杀手，超越常理的罪案，需要非同一般的警探。 
年轻气盛的犯罪心理学高材生方木出手相助，却被卷入其中； 
身手不凡的野兽派刑警队长邰伟嫉恶如仇，却难以走出内心泥沼。 
两人联手，却成绝妙拍档！ 
一场身手的较量，心智的角逐，随之展开……"
哥，你好,9.2,"['马丽', '常远', '魏翔', '贾冰', '黄允桐']",http://pic8.iqiyipic.com/image/20221207/c4/33/v_165397020_m_601_m7.webp,http://www.iqiyi.com/v_2g5a5i7gnyk.html,奇幻;喜剧,2022-9-9,110.45,与父亲老伍终年不合的小伍阴差阳错回到80年代，意外搅黄了父亲与母亲大陆的初次相遇。为了纠正这个错误，他想尽办法一次次重返过去，鼓励老妈追老爸，让人啼笑皆非的闹剧不断上演。父母相遇相恋的命运，是否会因为小伍的干预而转变？尘封在父亲心里的秘密，又将如何慢慢揭开……
